,track_name,available_markets,duration_ms,explicit,artists_names,principal_artist_name,principal_artist_followers,acousticness,danceability,energy,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity,year,sound_system
0,"""The Take Over, The Breaks Over""","Europe, Africa, Asia, America, Oceania",213586,False,Fall Out Boy,Fall Out Boy,10246090,0.00614,0.609,0.917,9,0.0775,-2.563,B,0.0477,149.948,4,0.67,63,2007,D Major
1,#1,"Europe, Africa, Asia, America, Oceania",198760,True,Nelly,Nelly,2500796,0.0236,0.69,0.592,7,0.56,-5.973,B,0.3,179.98,4,0.466,57,2002,C Major
2,#3,"Europe, Africa, Asia, America, Oceania",464293,False,Aphex Twin,Aphex Twin,1190364,0.911,0.159,0.071,6,0.107,-27.109,A,0.0409,146.977,5,0.0602,65,1994,D Minor
3,#41,America,399800,False,Dave Matthews Band,Dave Matthews Band,1923688,0.00199,0.577,0.726,4,0.158,-8.011,A,0.0299,107.416,4,0.764,57,1996,C Minor
4,$outh $ide $uicide,"Europe, Africa, Asia, America, Oceania",169319,True,$uicideboy$;Pouya,$uicideboy$,5947594,0.00538,0.797,0.516,1,0.0728,-6.286,B,0.0832,109.993,4,0.0478,72,2015,F-Sharp Major
5,&,"Europe, Africa, Asia, America, Oceania",194586,False,Tally Hall,Tally Hall,591548,0.00135,0.532,0.88,11,0.348,-5.119,B,0.0362,95.921,4,0.727,63,2011,E Major
6,'Til You Can't,"Europe, Africa, Asia, America, Oceania",224213,False,Cody Johnson,Cody Johnson,932439,0.0513,0.501,0.815,1,0.106,-4.865,B,0.0436,160.087,4,0.46,77,2021,F-Sharp Major
7,'Til You Can't,"Europe, Africa, Asia, America, Oceania",224773,False,Cody Johnson,Cody Johnson,932439,0.0566,0.505,0.814,1,0.106,-4.905,B,0.0439,160.085,4,0.503,70,2021,F-Sharp Major
8,(Can't Get My) Head Around You,"Europe, Africa, Asia, America, Oceania",134760,False,The Offspring,The Offspring,5170330,0.00807,0.539,0.814,7,0.0916,-4.643,B,0.0771,143.28,4,0.646,70,2003,C Major
9,(Can't Live Without Your) Love And Affection - Remastered 2017,"Europe, Africa, Asia, America, Oceania",236435,False,Nelson,Nelson,89448,0.0423,0.541,0.904,1,0.0589,-6.384,B,0.0404,121.386,4,0.833,52,1990,F-Sharp Major
10,(Everything I Do) I Do It For You,America,394133,False,Bryan Adams,Bryan Adams,3257796,0.0775,0.526,0.365,1,0.0618,-12.605,B,0.028,131.253,4,0.253,66,1991,F-Sharp Major
11,(I Can't Help) Falling In Love With You,"Europe, Africa, Asia, America, Oceania",207440,False,UB40,UB40,2246684,0.0444,0.642,0.722,2,0.122,-13.031,B,0.0375,172.406,4,0.836,72,1993,D-Flat Major
12,"(I Got Spurs That) Jingle, Jangle, Jingle","Europe, Africa, Asia, America, Oceania",200066,False,Kay Kyser & His Orchestra,Kay Kyser & His Orchestra,6407,0.98,0.702,0.226,5,0.0653,-13.417,B,0.0457,92.42,4,0.881,54,1990,B-Flat Major
13,(I Just) Died In Your Arms,"Europe, Africa, Asia, America, Oceania",280400,False,Cutting Crew,Cutting Crew,391339,0.0158,0.625,0.726,11,0.0625,-11.402,A,0.0444,124.945,4,0.507,79,1986,D-Flat Minor
14,(I Love You) For Sentimental Reasons,"Europe, Africa, Asia, America, Oceania",184466,False,Nat King Cole,Nat King Cole,2095793,0.977,0.41,0.0418,1,0.117,-24.754,B,0.035,67.882,4,0.247,61,1991,F-Sharp Major
15,(I've Had) The Time Of My Life,"Europe, Africa, Asia, America, Oceania",289066,False,Bill Medley;Jennifer Warnes,Bill Medley,43089,0.125,0.663,0.784,6,0.214,-11.245,A,0.0438,108.492,4,0.505,69,1990,D Minor
